"","PLAYER","Play_Yrs","Games","Year","Pick","CLASS","CONF","BPM","ORTG","USG","EFG","TS","OR","DR","AST","TO","BLK","STL","FTR","FT_PERC","X2P_PERC","X3PR","X3P_PERC","HEIGHT_IN"
"1","Anthony Davis",7,416,2012,1,"Fr","SEC",16.7,133.8,19.1,62.8,65.4,11.6,23.9,7.5,10,13.7,2.5,60.2,0.709,0.653,5.9,0.15,82
"2","Michael Kidd-Gilchrist",7,367,2012,2,"Fr","SEC",6.7,111.8,21.3,51.1,57,10.3,16.1,10.8,19.6,2.8,1.9,58.9,0.745,0.535,15.6,0.255,79
"3","Bradley Beal",7,415,2012,3,"Fr","SEC",7.6,112.3,22.4,52.5,57.5,4.8,18.1,12.7,17,2.6,2.5,44,0.769,0.541,47.3,0.339,75
"4","Dion Waiters",6,365,2012,4,"So","BE",9.9,115.9,25.4,53.4,56.5,2.4,8.2,21.2,12.9,1.5,4.6,33.1,0.729,0.529,31.7,0.363,76
"5","Thomas Robinson",5,313,2012,5,"Jr","B12",7.6,106.7,29.4,51.2,54.9,11.1,30.7,13.1,16.8,2.9,2,46.2,0.682,0.505,2.7,0.5,81
"6","Damian Lillard",7,479,2012,6,"Jr","BSky",9.8,122.3,32.3,54.5,62.1,1.9,14.1,28,12,0.7,2.5,51.4,0.885,0.504,45.9,0.396,74
"7","Harrison Barnes",7,468,2012,7,"So","ACC",6,108.2,26,48.7,52.8,6.9,11,7.2,14,1.1,2,37.4,0.723,0.469,26.3,0.358,80
"8","Terrence Ross",7,420,2012,8,"So","P12",7.3,111.9,23.3,53.4,55.8,4.7,17.6,9.2,15.5,3,2.3,20,0.766,0.518,41.3,0.371,78
"9","Andre Drummond",7,471,2012,9,"Fr","BE",4.3,100.7,20.8,53.8,50.9,14.2,15.5,3.4,16,9.9,1.8,30.1,0.295,0.541,0.7,0,82
"10","Austin Rivers",7,417,2012,10,"Fr","ACC",3.1,104.8,24,50.5,53.8,2.2,9.2,13,17,0.1,1.7,45.8,0.658,0.477,39.6,0.365,76
"11","Meyers Leonard",7,339,2012,11,"So","B10",6.3,112.5,22,58.6,61.8,9.1,23.5,9.9,18.7,6.9,0.9,43.6,0.732,0.604,3.8,0.091,85
"12","Jeremy Lamb",7,366,2012,12,"So","BE",7.1,115.4,22.2,55.6,59,3,11.1,10.1,15,1.7,2.1,26.7,0.81,0.601,46.5,0.336,77
"13","Kendall Marshall",4,160,2012,13,"So","ACC",5.9,113.3,17.1,52.9,55.8,0.5,7.3,45.1,27.2,0.5,2,35.1,0.696,0.527,35.1,0.354,76
"14","John Henson",7,400,2012,14,"Jr","ACC",8.4,107.4,21.9,50,50.5,9.1,25.1,8,11,9.6,1.1,32.9,0.511,0.5,0,0,83
"15","Maurice Harkless",7,420,2012,15,"Fr","BE",3.6,100,24.3,47.2,50.4,8.4,18.2,9.6,16.8,4.2,2.6,32.6,0.676,0.506,18.5,0.215,80
"16","Tyler Zeller",6,406,2012,17,"Sr","ACC",9.9,121.2,24.4,55.3,61.6,14.1,20.2,6.3,15.3,5.3,1.7,56.3,0.808,0.553,0,0,85
"17","Terrence Jones",5,232,2012,18,"So","SEC",9.2,111.9,22.3,52.3,54.7,10.8,16.3,8.7,14.9,5.8,2.7,44.6,0.627,0.528,13.8,0.327,81
"18","Andrew Nicholson",5,285,2012,19,"Sr","A10",9.5,116.7,28.1,60.1,63.8,11.2,22.8,9.4,18.1,7.3,1.3,42.9,0.776,0.593,13.8,0.434,81
"20","Jared Sullinger",5,269,2012,21,"So","B10",10.5,117.8,27.3,53.8,59.1,12.5,24,8.6,13.7,4,2.3,51.9,0.768,0.531,9.1,0.4,81
"21","John Jenkins",5,145,2012,23,"Jr","SEC",11.3,126.4,23.6,62,65.6,1.7,8.2,8.4,12,1,1.5,33.4,0.837,0.542,66.6,0.439,75
"22","Jared Cunningham",4,84,2012,24,"Jr","P12",4.5,106.8,25.3,50.2,56.3,3.5,9.6,15.7,18.3,1.3,4.1,60.7,0.734,0.502,33.7,0.336,76
"23","Tony Wroten",4,145,2012,25,"Fr","P12",4,95.7,32.1,45.3,48.8,8,9.8,24.5,21.8,1.2,3.5,59.1,0.583,0.483,12.5,0.161,77
"24","Miles Plumlee",7,333,2012,26,"Sr","ACC",5.3,117.3,17.6,61,62,16.6,22.7,5.1,20,4.2,1.5,52.1,0.632,0.61,0,0,82
"25","Jae Crowder",7,472,2012,34,"Sr","BE",13.1,122.3,22,56.8,59.9,7,20.5,13.5,9.8,3.1,4.3,37.2,0.735,0.602,40.6,0.345,78
"26","Draymond Green",7,477,2012,35,"Sr","B10",11,107.3,28.2,50.4,54.2,8.2,28.5,24.2,19.7,3.4,2.7,36.7,0.723,0.473,28.4,0.388,79
"27","Quincy Acy",6,327,2012,37,"Sr","B12",6,116.7,19.2,57.1,62.9,10.7,18.6,6.5,19.9,6.5,1.8,64.9,0.776,0.564,1.9,0.6,79
"28","Khris Middleton",7,387,2012,39,"Jr","B12",5.4,96,28.6,45.1,48.3,5.7,15.8,19,16.5,1.1,2.1,22.2,0.75,0.481,31.6,0.257,79
"29","Will Barton",7,397,2012,40,"So","CUSA",9,116.3,25.4,55,58.8,7.6,18.5,17.3,14.2,2.1,2.4,39.6,0.749,0.559,23.7,0.346,78
"30","Mike Scott",7,366,2012,43,"Sr","ACC",9.7,115,29.8,57.1,62,9.7,24,10.7,14.8,1.8,1.4,45,0.808,0.577,5.2,0.3,80
"31","Darius Miller",5,189,2012,46,"Sr","SEC",6.8,117.9,18.6,56.6,59.3,4.3,7.3,14.3,17.8,1.2,1.9,22.8,0.797,0.569,49.3,0.376,80
"32","Kyle O'Quinn",7,404,2012,49,"Sr","MEAC",5.5,113.8,25,59.6,63,11.6,25,11.2,19.5,9.1,1.1,64.7,0.704,0.621,8.5,0.214,82
"33","Robert Sacre",4,189,2012,60,"Sr","WCC",4,111.7,22.9,51.1,59.5,9.9,18.1,5.7,18.1,5.8,0.8,86,0.761,0.515,0.9,0,85
