Player,BPM
A.J. Hammons,-6.6
Aaron Brooks,-3.366666666666667
Aaron Gordon,0.22499999999999998
Aaron Harrison,-8.533333333333333
Aaron Holiday,-1.6
Aaron Jackson,-8.9
Abdel Nader,-4.25
Adreian Payne,-2.033333333333333
Al Horford,4.175
Al Jefferson,0.03333333333333336
Al-Farouq Aminu,0.024999999999999994
Alan Anderson,-4.199999999999999
Alan Williams,1.3250000000000002
Alec Burks,-1.2
Alec Peters,-2.8
Alex Caruso,-1.55
Alex Len,-1.875
Alex Poythress,-3.8333333333333335
Alex Stepheson,-2.4
Alexis Ajinça,-3.65
Alfonzo McKinnie,-3.25
Alize Johnson,-7.7
Allen Crabbe,-1.45
Allonzo Trier,-3.1
Alonzo Gee,-4.65
Amar'e Stoudemire,-0.6
Amile Jefferson,2.5
Amir Johnson,0.125
Anderson Varejão,-3.55
Andre Drummond,1.85
Andre Iguodala,1.2750000000000001
Andre Ingram,-7.65
Andre Miller,-1.9
Andre Roberson,-0.19999999999999998
Andrea Bargnani,-5.1
Andrew Bogut,-1.475
Andrew Goudelock,-3.6
Andrew Harrison,-4.0
Andrew Nicholson,-3.55
Andrew White,-5.5
Andrew Wiggins,-2.1
Anfernee Simons,-5.3
Ante Žižić,-1.1
Anthony Bennett,-2.65
Anthony Brown,6.866666666666667
Anthony Davis,6.475
Anthony Morrow,-1.7
Anthony Tolliver,-0.5249999999999999
Antonio Blakeney,-5.2
Antonius Cleveland,-5.2
Archie Goodwin,-0.9000000000000001
Arinze Onuaku,-6.4
Aron Baynes,-1.8250000000000002
Arron Afflalo,-3.966666666666667
Austin Rivers,-2.6
Avery Bradley,-2.1
Axel Toupane,-5.45
B.J. Johnson,-4.3
Bam Adebayo,0.7
Ben Bentil,-25.9
Ben McLemore,-3.85
Ben Moore,-9.3
Ben Simmons,4.05
Beno Udrih,-1.6500000000000001
Billy Garrett,-5.5
Bismack Biyombo,-2.075
Blake Griffin,4.425
Boban Marjanović,3.875
Bobby Brown,-5.4
Bobby Portis,-1.6
Bogdan Bogdanović,-1.05
Bojan Bogdanović,-1.425
Bonzie Colson,-3.5
Boris Diaw,-0.85
Brad Wanamaker,-0.7
Bradley Beal,2.175
Brandan Wright,1.5
Branden Dawson,-5.7
Brandon Bass,0.5
Brandon Goodwin,-9.5
Brandon Ingram,-2.5333333333333337
Brandon Jennings,-2.0666666666666664
Brandon Knight,-2.9333333333333336
Brandon Paul,-3.5
Brandon Rush,-1.65
Brandon Sampson,-4.7
Brian Roberts,-2.9000000000000004
Briante Weber,-2.9000000000000004
Brice Johnson,-1.2
Brook Lopez,1.7
Bruce Brown,-3.3
Bruno Caboclo,-5.875000000000001
Bryce Cotton,-8.8
Bryce Dejean-Jones,-2.5
Bryn Forbes,-3.233333333333333
Buddy Hield,0.3666666666666667
C.J. Miles,-0.39999999999999997
C.J. Watson,-3.3
C.J. Wilcox,-4.8
C.J. Williams,-2.9000000000000004
CJ McCollum,1.375
Caleb Swanigan,-6.35
Cameron Bairstow,-7.5
Cameron Payne,-2.55
Cameron Reynolds,-2.5
Caris LeVert,-0.5666666666666668
Carl Landry,1.2
Carmelo Anthony,-0.15000000000000002
Caron Butler,-1.8
Cedi Osman,-3.05
Chandler Hutchison,-3.9
Chandler Parsons,-1.35
Channing Frye,-0.55
Charles Cooke,-14.4
Charlie Villanueva,-2.7
Chase Budinger,-1.3
Chasson Randle,-2.85
Cheick Diallo,-1.9333333333333336
Chimezie Metu,-8.7
Chinanu Onuaku,-8.1
Chris Andersen,-0.9
Chris Bosh,4.0
Chris Boucher,-15.25
Chris Chiozza,-1.3
Chris Copeland,-6.4
Chris Johnson,-2.0
Chris Kaman,-3.6
Chris McCullough,-2.6
Chris Paul,6.9
Christian Wood,-0.8000000000000002
Chuck Hayes,-8.1
Cleanthony Early,-8.6
Cliff Alexander,0.0
Clint Capela,1.8
Cody Zeller,-0.24999999999999997
Cole Aldrich,-1.9666666666666668
Collin Sexton,-4.7
