"","PLAYER","Play_Yrs","Games","Year","Pick","CLASS","CONF","BPM","ORTG","USG","EFG","TS","OR","DR","AST","TO","BLK","STL","FTR","FT_PERC","X2P_PERC","X3PR","X3P_PERC","HEIGHT_IN"
"1","Anthony Bennett",4,151,2013,1,"Fr","MWC",8.2,112.8,25.7,57.5,60.4,9.9,21.3,8.2,15.3,4.3,1.5,46,0.696,0.576,25.8,0.383,80
"2","Victor Oladipo",6,376,2013,2,"Jr","B10",14.3,122.7,22.6,64.8,67.1,11.7,14,15.2,21.1,2.8,4.6,42.8,0.746,0.644,22.4,0.441,77
"3","Otto Porter",6,351,2013,3,"So","BE",13.1,118.8,23.4,54.1,59,6.7,19,18.5,11.7,3,3.3,44.9,0.777,0.504,29.1,0.422,80
"4","Cody Zeller",6,322,2013,4,"So","B10",10,119.4,26.5,56.2,62.3,12.4,18.7,9.4,17.1,4.4,2.1,73.2,0.757,0.565,0.6,0,85
"5","Alex Len",6,344,2013,5,"So","ACC",6.1,112.7,22.6,53.5,57,13.2,19.3,7.8,15.6,8,0.5,47.2,0.686,0.544,2.5,0.125,85
"6","Nerlens Noel",5,231,2013,6,"Fr","SEC",11.1,109,18.2,59,58.3,10.4,22.3,9.5,19.1,13.2,3.9,62.7,0.529,0.59,0,0,82
"7","Ben McLemore",6,354,2013,7,"Fr","B12",9.5,118.7,22,58.6,63.3,5,12.3,12.6,17.2,2.2,1.8,34.5,0.87,0.553,43.5,0.42,77
"8","Kentavious CaldwellPope",6,398,2013,8,"So","SEC",12.3,112.7,27.2,53,57.9,4.3,19.7,16.8,13.8,1.9,3.8,39.3,0.799,0.498,52.3,0.373,77
"9","Trey Burke",6,313,2013,9,"So","B10",12.3,121.4,28.9,52.9,56.9,1.8,8.9,37.4,13.1,1.6,2.8,30.2,0.805,0.503,35.5,0.383,73
"10","CJ McCollum",6,351,2013,10,"Sr","Pat",9.3,115.7,35,58,62.8,4,14.5,25.1,14.7,1.2,2.7,37.6,0.849,0.485,33,0.516,75
"11","Michael CarterWilliams",6,294,2013,11,"So","BE",8.8,102.6,24.4,43.8,49.1,4,11.1,40.2,24.1,1.7,4.8,47.2,0.694,0.438,30.5,0.292,78
"12","Steven Adams",6,394,2013,12,"Fr","BE",7.1,109.7,18,57.1,55.5,15.3,19.1,5.4,16.9,11.2,1.9,40,0.443,0.571,0,0,85
"13","Kelly Olynyk",6,362,2013,13,"Jr","WCC",13.6,123.5,30.4,64.4,67.8,11.8,20.1,15.1,18.4,5.1,1.6,50.5,0.78,0.661,8.7,0.31,85
"14","Shabazz Muhammad",5,278,2013,14,"Fr","P12",3.8,107.1,28.2,48.7,52.8,9.9,8.5,5.8,10.5,0.4,1.3,39.5,0.711,0.463,23.2,0.377,78
"18","Shane Larkin",4,256,2013,18,"So","ACC",8.5,117.2,21.8,56.9,60,1.6,10.4,26.1,17.9,0.3,3.4,29.3,0.777,0.538,44.5,0.406,71
"19","Tony Snell",6,377,2013,20,"Jr","MWC",5.5,105,22,51.6,56.2,1.6,8.1,22.4,18.5,1.9,1.6,29.9,0.843,0.452,48.1,0.39,79
"20","Gorgui Dieng",6,386,2013,21,"Jr","BE",10.4,112.6,18.2,53.4,56.2,12.9,22.1,12.3,18.9,9.4,2.6,47.9,0.652,0.534,0,0,83
"21","Mason Plumlee",6,398,2013,22,"Sr","ACC",8.4,113.1,25.1,59.9,62.8,9.8,23.3,11.5,19.2,4,1.7,68.8,0.681,0.599,0,0,82
"22","Solomon Hill",6,269,2013,23,"Sr","P12",7.6,113.7,21.4,54.1,57.9,6.6,12.8,16.8,18.7,1.8,2.1,35.9,0.766,0.508,42.3,0.39,79
"24","Reggie Bullock",6,215,2013,25,"Jr","ACC",10.5,126.5,18.2,59.8,61.7,6.6,15.8,16.2,12.3,0.9,2.2,21,0.767,0.537,57.1,0.429,79
"25","Andre Roberson",5,295,2013,26,"Jr","P12",7.6,99.8,20.4,51.5,52.4,10.6,27.1,9.4,21.2,4.4,3.9,35.6,0.551,0.521,21.1,0.328,79
"27","Archie Goodwin",4,165,2013,29,"Fr","SEC",1,96.9,27.2,46.4,50.9,5.6,10.4,16.8,21,1.4,2.1,59.4,0.637,0.478,17.9,0.266,76
"28","Allen Crabbe",6,310,2013,31,"Jr","P12",7.8,108.7,25.4,52.8,56.8,3.3,14.8,16.2,16.4,1.9,1.9,29.7,0.813,0.532,39.3,0.348,78
"29","Isaiah Canaan",6,213,2013,34,"Sr","OVC",5.7,112.4,30.7,52.4,57.6,1.7,9.1,27.7,17.3,0.4,2.6,37.9,0.823,0.489,51.3,0.371,73
"30","Jeff Withey",5,206,2013,39,"Sr","B12",10.4,113.7,21,58.3,62.1,8.8,20.9,6.2,17.8,13.7,1.4,60.4,0.714,0.58,0.3,1,85
"31","Mike Muscala",6,251,2013,44,"Sr","Pat",12.5,116.8,31.7,51,57.2,12,29,18.6,10.9,7.7,1,50.6,0.788,0.515,3.6,0.25,83
"32","Ryan Kelly",4,163,2013,48,"Sr","ACC",10,121.1,20.8,53.5,58.6,6.9,14.3,11,9.7,5.4,1.4,40.1,0.812,0.473,39.2,0.422,83
"33","James Ennis",5,225,2013,50,"Sr","BW",7.1,111,24,55.9,61,6.3,15.5,14.2,21,4.1,3.1,37.3,0.853,0.576,42.8,0.358,79
"34","Lorenzo Brown",5,84,2013,52,"Jr","ACC",4.7,103.5,24.7,44.9,50.9,2.4,11.4,36.7,23.6,1.6,3.4,41.9,0.771,0.465,22.8,0.263,77
