Player,BPM
A.J. Hammons,-6.6
A.J. Price,-3.0999999999999996
Aaron Brooks,-2.0250000000000004
Aaron Gordon,-0.9
Aaron Gray,-4.7
Aaron Harrison,-9.05
Adonis Thomas,-6.2
Adreian Payne,-5.133333333333334
Al Harrington,-4.2
Al Horford,3.5749999999999997
Al Jefferson,0.6000000000000002
Al-Farouq Aminu,-0.22500000000000003
Alan Anderson,-3.175
Alan Williams,-0.75
Alec Burks,-1.2999999999999998
Alex Kirk,-6.0
Alex Len,-3.75
Alex Poythress,-2.9
Alex Stepheson,-2.4
Alexey Shved,0.5
Alexis Ajinça,-2.55
Allen Crabbe,-2.3
Alonzo Gee,-3.25
Amar'e Stoudemire,-0.7000000000000001
Amir Johnson,0.6
Anderson Varejão,-1.275
Andray Blatche,0.0
Andre Dawkins,-12.8
Andre Drummond,0.85
Andre Iguodala,1.7
Andre Miller,-1.0666666666666667
Andre Roberson,-0.8999999999999999
Andrea Bargnani,-2.8333333333333335
Andrei Kirilenko,-3.0500000000000003
Andrew Bogut,1.3000000000000003
Andrew Bynum,-1.9
Andrew Goudelock,-3.6
Andrew Harrison,-3.4
Andrew Nicholson,-4.275
Andrew Wiggins,-1.8
Andris Biedriņš,-8.2
Antawn Jamison,-4.7
Anthony Bennett,-4.15
Anthony Brown,-4.95
Anthony Davis,5.875
Anthony Morrow,-0.625
Anthony Randolph,-0.8
Anthony Tolliver,-0.5
Archie Goodwin,-2.1
Arinze Onuaku,-3.4000000000000004
Arnett Moultrie,-7.3
Aron Baynes,-2.6
Arron Afflalo,-2.3
Austin Daye,-4.0
Austin Rivers,-2.7749999999999995
Avery Bradley,-1.1999999999999997
Axel Toupane,-5.45
Ben Bentil,-25.9
Ben Gordon,-5.1
Ben McLemore,-3.55
Beno Udrih,-1.1500000000000001
Bernard James,-2.0500000000000003
Bismack Biyombo,-1.425
Blake Griffin,4.425
Boban Marjanović,4.9
Bobby Brown,-3.6
Bobby Portis,-2.4
Bojan Bogdanović,-2.466666666666667
Boris Diaw,-0.19999999999999996
Bradley Beal,0.825
Brandan Wright,2.375
Branden Dawson,-5.7
Brandon Bass,-0.025000000000000022
Brandon Davies,-5.4
Brandon Ingram,-4.4
Brandon Jennings,0.15000000000000002
Brandon Knight,-0.575
Brandon Rush,-4.05
Brendan Haywood,-6.3
Brian Roberts,-2.3
Briante Weber,-3.7
Brice Johnson,-2.0
Brook Lopez,2.1500000000000004
Bruno Caboclo,-11.6
Bryce Cotton,-5.5
Bryce Dejean-Jones,-2.5
Bryn Forbes,-5.4
Buddy Hield,-2.0
Byron Mullens,-1.7
C.J. Miles,1.075
C.J. Watson,-1.0
C.J. Wilcox,-4.833333333333333
CJ McCollum,-0.17500000000000004
Cameron Bairstow,-8.25
Cameron Payne,-3.4
Caris LeVert,-1.1
Carl Landry,-1.4000000000000001
Carlos Boozer,-1.9
Carmelo Anthony,3.0
Caron Butler,-1.633333333333333
Carrick Felix,-3.4
Cartier Martin,-4.25
Casper Ware,-2.4
Chandler Parsons,0.375
Channing Frye,0.25
Charlie Villanueva,-1.2
Chase Budinger,-1.8666666666666665
Chasson Randle,-1.7
Chauncey Billups,-5.8
Cheick Diallo,-3.7
Chinanu Onuaku,-1.5
Chris Andersen,0.125
Chris Babb,-6.1
Chris Bosh,2.033333333333333
Chris Copeland,-1.866666666666667
Chris Douglas-Roberts,-3.65
Chris Johnson,-1.6333333333333335
Chris Kaman,-1.9333333333333336
Chris McCullough,-3.0
Chris Paul,8.3
Chris Singleton,-4.6
Chris Smith,-9.7
Chris Wright,-0.2
Christian Wood,-1.4000000000000001
Chuck Hayes,-3.633333333333333
Cleanthony Early,-6.9
Cliff Alexander,0.0
Clint Capela,-1.5333333333333334
Cody Zeller,-0.625
Cole Aldrich,0.8500000000000001
Corey Brewer,-1.7
Cory Jefferson,-4.7
Cory Joseph,-0.050000000000000044
Coty Clarke,14.1
Courtney Lee,-0.375
Cristiano Felício,-0.19999999999999998
D'Angelo Russell,-1.5499999999999998
D.J. Augustin,-0.8
D.J. Stephens,1.7
D.J. White,-5.6
Dahntay Jones,-5.366666666666667
Damian Jones,-9.7
Damian Lillard,4.325
Damien Inglis,-5.6
Damion James,-4.7
Damjan Rudež,-3.8666666666666667
Daniel Ochefu,-8.4
Daniel Orton,-4.0
Danilo Gallinari,2.1666666666666665
Danny Granger,-2.65
Danny Green,2.4250000000000003
Dante Cunningham,-1.9249999999999998
Dante Exum,-3.8
Danuel House,0.9
Dario Šarić,-2.3
Darius Johnson-Odom,-27.3
Darius Miller,-7.050000000000001
Darius Morris,-5.45
Darrell Arthur,-1.45
Darren Collison,0.7000000000000001
Darrun Hilliard,-4.25
David Lee,1.325
David Nwaba,-2.2
David Stockton,-3.9
David Wear,-9.4
David West,2.4749999999999996
DeAndre Jordan,2.875
DeAndre Liggins,19.65
DeAndre' Bembry,-3.5
DeJuan Blair,-6.133333333333333
DeMar DeRozan,1.575
DeMarcus Cousins,4.9
DeMarre Carroll,0.6749999999999999
Dejounte Murray,-4.8
Delon Wright,1.45
Demetrius Jackson,9.8
Dennis Schröder,-2.35
Denzel Valentine,-3.3
Derek Fisher,-0.6
Deron Williams,-0.17500000000000004
Derrick Favors,1.4500000000000002
Derrick Jones Jr.,-2.3
Derrick Rose,-1.8
Derrick Williams,-1.6749999999999998
Devin Booker,-2.3499999999999996
Devin Harris,0.14999999999999997
Devyn Marble,-5.5
Dewayne Dedmon,-2.125
Dexter Pittman,-24.3
Deyonta Davis,-4.6
Diamond Stone,-20.8
Diante Garrett,-4.6
Dion Waiters,-1.9249999999999998
Dionte Christmas,-1.8
Dirk Nowitzki,2.625
Domantas Sabonis,-4.5
Donald Sloan,-1.5999999999999999
Donatas Motiejūnas,-3.2750000000000004
Dorell Wright,1.35
Dorian Finney-Smith,-2.6
Doron Lamb,-4.6
Doug McDermott,-3.733333333333333
Dragan Bender,-5.1
Draymond Green,3.95
Drew Gooden,-2.433333333333333
Drew Gordon,-9.5
Duje Dukan,-7.0
Dwight Buycks,-3.0
Dwight Howard,0.725
Dwight Powell,0.033333333333333326
Dwyane Wade,2.35
Dāvis Bertāns,1.3
E'Twaun Moore,-1.65
Earl Barron,-7.4
Earl Clark,-4.55
Earl Watson,-6.7
Ed Davis,-0.47499999999999987
Edy Tavares,0.7499999999999999
Ekpe Udoh,-3.0
Elfrid Payton,-0.5333333333333333
Elias Harris,0.3
Elijah Millsap,-8.633333333333333
Elliot Williams,-5.433333333333333
Elton Brand,-2.4
Emmanuel Mudiay,-3.7
Enes Kanter,-0.39999999999999997
Eric Bledsoe,3.025
Eric Gordon,-0.42500000000000004
Eric Maynor,-6.0
Eric Moreland,6.35
Erick Green,-3.0999999999999996
Erik Murphy,-8.6
Ersan İlyasova,-0.4499999999999999
Evan Fournier,-1.575
Evan Turner,-1.7
Festus Ezeli,-0.9500000000000001
Francisco García,-2.15
Frank Kaminsky,-1.0
Fred VanVleet,-2.1
Furkan Aldemir,-3.6
Gal Mekel,-9.45
Garrett Temple,-1.325
Gary Harris,-1.8333333333333333
Gary Neal,-5.95
Gary Payton II,-6.5
George Hill,2.85
Georges Niang,-11.7
Georgios Papagiannis,-3.8
Gerald Green,-1.25
Gerald Henderson,-1.9500000000000002
Gerald Wallace,-1.9500000000000002
Giannis Antetokounmpo,1.725
Gigi Datome,-2.4
Glen Davis,-2.8
Glen Rice Jr.,-9.4
Glenn Robinson III,-2.2666666666666666
Goran Dragić,1.725
Gordon Hayward,3.1
Gorgui Dieng,-0.050000000000000024
Grant Jerrett,-10.8
Greg Monroe,1.5
Greg Oden,-4.8
Greg Smith,-3.533333333333333
Greg Stiemsma,-3.85
Greivis Vásquez,-3.275
Gustavo Ayón,-1.2
Hamady N'Diaye,-7.8
Harrison Barnes,-0.8999999999999999
Hasheem Thabeet,-7.3
Hassan Whiteside,3.233333333333333
Hedo Türkoğlu,0.0
Henry Ellenson,-5.9
Henry Sims,-3.1
Henry Walker,-2.0
Hilton Armstrong,-0.1
Hollis Thompson,-2.75
Ian Clark,-2.4
Ian Mahinmi,-1.075
Iman Shumpert,-1.675
Isaiah Canaan,-2.625
Isaiah Taylor,-7.8
Isaiah Thomas,4.35
Isaiah Whitehead,-5.1
Ish Smith,-1.3
Ivica Zubac,-1.7
J.J. Barea,-0.375
J.J. Hickson,-1.5666666666666667
J.J. O'Brien,-6.2
J.J. Redick,1.4000000000000001
J.R. Smith,-0.275
JaKarr Sampson,-4.800000000000001
JaMychal Green,-1.5333333333333332
JaVale McGee,-2.1000000000000005
Jabari Brown,-4.3
Jabari Parker,-0.6
Jack Cooley,-5.7
Jae Crowder,0.9500000000000001
Jahlil Okafor,-2.4
Jake Layman,-6.4
Jakob Poeltl,-3.1
Jamaal Franklin,-5.75
Jamaal Tinsley,-7.6
Jamal Crawford,-0.30000000000000004
Jamal Murray,-2.0
Jameer Nelson,-1.775
James Anderson,-3.55
James Ennis,-0.39999999999999997
James Harden,7.425
James Johnson,2.175
James Jones,0.47500000000000003
James Michael McAdoo,-1.9666666666666666
James Nunnally,-5.4
James Southerland,-2.7
James Young,-3.066666666666667
Jan Veselý,-1.1
Jannero Pargo,2.25
Jared Cunningham,-5.966666666666666
Jared Dudley,-0.5
Jared Sullinger,-1.725
Jarell Eddie,-1.95
Jarell Martin,-4.75
Jarnell Stokes,5.8999999999999995
Jarrett Jack,-1.3250000000000002
Jarrod Uthoff,-2.2
Jarvis Varnado,-2.3
Jason Collins,-6.7
Jason Maxiell,-3.7
Jason Richardson,-1.3
Jason Smith,-2.8500000000000005
Jason Terry,-1.375
Jason Thompson,-2.2666666666666666
Jaylen Brown,-3.7
Jeff Adrien,-1.65
Jeff Ayres,-3.466666666666667
Jeff Green,-1.775
Jeff Taylor,-5.15
Jeff Teague,1.575
Jeff Withey,0.5249999999999999
Jerami Grant,-2.1
Jerel McNeal,-9.1
Jeremy Evans,0.9666666666666668
Jeremy Lamb,0.75
Jeremy Lin,0.125
Jeremy Tyler,-5.5
Jerian Grant,-1.5
Jermaine O'Neal,-1.4
Jerome Jordan,-1.2
Jerrelle Benimon,-13.0
Jerryd Bayless,-2.2750000000000004
Jimmer Fredette,-2.233333333333334
Jimmy Butler,4.35
Joakim Noah,2.125
Jodie Meeks,-1.325
Joe Harris,-5.0
Joe Ingles,0.20000000000000004
Joe Johnson,-0.35
Joe Young,-4.95
Joel Anthony,-1.5749999999999997
Joel Bolomboy,3.4
Joel Embiid,4.5
Joel Freeland,-2.6
Joey Dorsey,-3.1
Joffrey Lauvergne,-3.133333333333333
John Henson,-0.30000000000000004
John Jenkins,-1.675
John Lucas III,-1.6666666666666672
John Salmons,-2.5999999999999996
John Wall,3.625
Johnny O'Bryant,-5.933333333333334
Jon Leuer,-0.475
Jonas Jerebko,-1.25
Jonas Valančiūnas,0.3
Jonathan Gibson,-3.7
Jonathon Simmons,-2.6500000000000004
Jordan Adams,4.15
Jordan Clarkson,-1.3
Jordan Crawford,0.35000000000000003
Jordan Farmar,-0.17499999999999993
Jordan Hamilton,-1.6666666666666667
Jordan Hill,-3.9250000000000003
Jordan McRae,-2.75
Jordan Mickey,-3.1
Jorge Gutiérrez,-2.6
Josh Childress,-3.3
Josh Harrellson,-0.7
Josh Huestis,3.0000000000000004
Josh McRoberts,-1.0
Josh Powell,-11.4
