"","PLAYER","Play_Yrs","Games","Year","Pick","CLASS","CONF","BPM","ORTG","USG","EFG","TS","OR","DR","AST","TO","BLK","STL","FTR","FT_PERC","X2P_PERC","X3PR","X3P_PERC","HEIGHT_IN"
"1","Andrew Wiggins",5,334,2014,1,"Fr","B12",7,112.3,25.1,49.9,56.3,8.4,12.3,9.2,15.9,3.1,2.1,53.8,0.775,0.493,29.9,0.341,80
"2","Jabari Parker",5,193,2014,2,"Fr","ACC",6.8,111.7,31.6,51.1,55.8,11.4,23.1,8.7,14.5,4,2.1,42.9,0.748,0.504,21.2,0.358,80
"3","Aaron Gordon",5,272,2014,4,"Fr","P12",7.2,105.5,23.2,51.6,50.3,10.4,19.3,13,12.4,3.4,1.8,47.1,0.422,0.513,11.8,0.356,80
"5","Marcus Smart",5,270,2014,6,"So","B12",10.9,110.4,29.9,48.6,55.2,5.1,14.9,30.1,15.4,1.9,5,64.8,0.728,0.514,42.5,0.299,76
"6","Julius Randle",5,247,2014,7,"Fr","SEC",6.3,111.2,26.2,50.4,56.6,13.4,24.7,10,18.7,2.6,1,73.7,0.706,0.516,4.6,0.167,81
"7","Nik Stauskas",5,277,2014,8,"So","B10",8.4,124.1,23.9,58.6,64.2,1.6,8.8,18.8,14,0.9,1,51.8,0.824,0.5,52.8,0.442,78
"8","Noah Vonleh",5,241,2014,9,"Fr","B10",6.1,109.1,21.5,56,60.4,10.8,27.3,4.9,21.8,5.4,1.9,62,0.716,0.53,15.3,0.485,82
"9","Elfrid Payton",5,305,2014,10,"Jr","SB",7.3,107.4,29.5,51.6,54.1,7.2,12,32.3,19.4,1.5,3.6,64.6,0.59,0.534,12.3,0.259,75
"10","Doug McDermott",5,274,2014,11,"Sr","BE",10.2,124.4,32.8,60.3,64.4,6.4,17.8,11.5,9.8,0.5,0.4,32.9,0.864,0.567,34.1,0.449,80
"11","Zach LaVine",5,240,2014,13,"Fr","P12",2,107.3,19,52.4,54.5,2.4,9.5,12.6,13.9,0.8,2.1,23.6,0.691,0.494,44.4,0.375,77
"12","T.J. Warren",5,226,2014,14,"So","ACC",10.6,113.7,33.6,54.8,57.4,10.8,12.8,8.6,12.2,1.8,3.1,34.7,0.69,0.58,17.8,0.267,80
"13","Adreian Payne",4,107,2014,15,"Sr","B10",6.4,113.5,27.1,56.5,60.7,6.8,22.9,10.2,16.1,3.8,1,39,0.79,0.536,29.4,0.423,82
"15","James Young",4,95,2014,17,"Fr","SEC",5.1,111.7,21.8,49.8,53.6,3.7,11,10.8,15.9,0.6,1.4,39.3,0.706,0.47,52.2,0.349,78
"16","Tyler Ennis",4,186,2014,18,"Fr","ACC",8,114.5,22.7,45.3,51.1,2.6,9,32.5,13.8,0.7,3.9,41.4,0.765,0.429,23.6,0.353,74
"17","Gary Harris",5,264,2014,19,"So","B10",9.3,114.4,25.3,51.8,56.1,4,10.2,16.8,12.7,1.6,3.4,31.2,0.81,0.507,50.5,0.352,76
"19","Rodney Hood",5,257,2014,23,"So","ACC",6.6,119.8,22.3,55,59,2.9,11.7,13.2,12.8,0.8,1.3,32.8,0.807,0.494,41,0.42,80
"20","Shabazz Napier",5,240,2014,24,"Sr","Amer",11.1,115.9,28.1,51.7,59.1,3.4,15,30.8,17.7,1,3.2,48,0.87,0.448,43.3,0.405,73
"22","Kyle Anderson",5,265,2014,30,"So","P12",10,110.6,26,51.7,56.6,4.5,25.5,34.3,20.2,2.7,3.1,49.3,0.737,0.48,15.4,0.483,81
"23","Joe Harris",5,196,2014,33,"Sr","ACC",8,113.4,22.1,54.7,56.5,2.7,9.8,18.1,13.4,0.9,2.2,33.7,0.64,0.487,53.3,0.4,78
"24","Johnny O'Bryant III",4,147,2014,36,"Jr","SEC",0.6,98.6,28.5,49.8,52.8,10.8,16.6,11.5,21,2.9,1,45.5,0.634,0.496,0.5,0.5,81
"25","Spencer Dinwiddie",5,195,2014,38,"Jr","P12",9.1,129.4,21.5,56.5,66.7,1.8,9.6,26.3,15.6,0.8,2.9,90.8,0.857,0.515,48.1,0.413,78
"26","Jerami Grant",5,311,2014,39,"So","ACC",5.2,115.6,21.4,49.6,54.7,9.1,17.2,9.4,11.3,2.5,1.7,66.4,0.674,0.506,1.9,0,80
"27","Glenn Robinson III",5,179,2014,40,"So","B10",4.4,113.7,21.2,53.2,56.6,6,11.5,7.6,11.6,1,1.9,30.8,0.757,0.562,29,0.306,78
"29","Dwight Powell",5,263,2014,45,"Sr","P12",4.8,101.3,26.8,47.5,52.7,7.3,17.3,20.4,19.6,2.8,2.4,55.7,0.687,0.485,10.3,0.256,82
"30","Jordan Clarkson",5,310,2014,46,"Jr","SEC",3.6,109.7,27.3,48.1,54.6,2.9,9.3,23.3,16.8,0.6,1.9,41.7,0.831,0.5,24.4,0.281,77
