,X,PLAYER,Play_Yrs,Games,Year,Pick,CLASS,CONF,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,FT_PERC,X2P_PERC,X3PR,X3P_PERC,HEIGHT_IN,BPM
90,34,DeAndre Liggins,5,177,2011,53,Jr,SEC,106.5,15.9,49.2,52.3,2.2,11.8,14.2,17.3,2.3,2.3,39.8,0.648,0.442,34.8,0.391,78,12.1
91,35,E'Twaun Moore,8,471,2011,55,Sr,B10,112.1,26.8,51.8,54.5,5.1,12.5,20.9,11.9,1.6,2.2,28.5,0.709,0.473,35.4,0.4,76,-1.95
92,36,Isaiah Thomas,7,473,2011,60,Jr,P12,114.3,27.2,51.7,56.3,2.5,9.5,32.7,19,0.2,2.3,49.8,0.719,0.512,40.8,0.349,69,1.925
93,1,Anthony Davis,7,416,2012,1,Fr,SEC,133.8,19.1,62.8,65.4,11.6,23.9,7.5,10,13.7,2.5,60.2,0.709,0.653,5.9,0.15,82,5.025
94,2,Michael KiddGilchrist,7,367,2012,2,Fr,SEC,111.8,21.3,51.1,57,10.3,16.1,10.8,19.6,2.8,1.9,58.9,0.745,0.535,15.6,0.255,79,-1.3
95,3,Bradley Beal,7,415,2012,3,Fr,SEC,112.3,22.4,52.5,57.5,4.8,18.1,12.7,17,2.6,2.5,44,0.769,0.541,47.3,0.339,75,0.05
96,4,Dion Waiters,6,365,2012,4,So,BE,115.9,25.4,53.4,56.5,2.4,8.2,21.2,12.9,1.5,4.6,33.1,0.729,0.529,31.7,0.363,76,-2.425
97,5,Thomas Robinson,5,313,2012,5,Jr,B12,106.7,29.4,51.2,54.9,11.1,30.7,13.1,16.8,2.9,2,46.2,0.682,0.505,2.7,0.5,81,-3.575
98,6,Damian Lillard,7,479,2012,6,Jr,BSky,122.3,32.3,54.5,62.1,1.9,14.1,28,12,0.7,2.5,51.4,0.885,0.504,45.9,0.396,74,3.15
99,7,Harrison Barnes,7,468,2012,7,So,ACC,108.2,26,48.7,52.8,6.9,11,7.2,14,1.1,2,37.4,0.723,0.469,26.3,0.358,80,-1.125
100,8,Terrence Ross,7,420,2012,8,So,P12,111.9,23.3,53.4,55.8,4.7,17.6,9.2,15.5,3,2.3,20,0.766,0.518,41.3,0.371,78,-0.95
101,9,Andre Drummond,7,471,2012,9,Fr,BE,100.7,20.8,53.8,50.9,14.2,15.5,3.4,16,9.9,1.8,30.1,0.295,0.541,0.7,0,82,1.225
102,10,Austin Rivers,7,417,2012,10,Fr,ACC,104.8,24,50.5,53.8,2.2,9.2,13,17,0.1,1.7,45.8,0.658,0.477,39.6,0.365,76,-3.775
103,11,Meyers Leonard,7,339,2012,11,So,B10,112.5,22,58.6,61.8,9.1,23.5,9.9,18.7,6.9,0.9,43.6,0.732,0.604,3.8,0.091,85,-2.1
104,12,Jeremy Lamb,7,366,2012,12,So,BE,115.4,22.2,55.6,59,3,11.1,10.1,15,1.7,2.1,26.7,0.81,0.601,46.5,0.336,77,-0.725
105,13,Kendall Marshall,4,160,2012,13,So,ACC,113.3,17.1,52.9,55.8,0.5,7.3,45.1,27.2,0.5,2,35.1,0.696,0.527,35.1,0.354,76,-3.925
106,14,John Henson,7,400,2012,14,Jr,ACC,107.4,21.9,50,50.5,9.1,25.1,8,11,9.6,1.1,32.9,0.511,0.5,0,0,83,-0.325
107,15,Maurice Harkless,7,420,2012,15,Fr,BE,100,24.3,47.2,50.4,8.4,18.2,9.6,16.8,4.2,2.6,32.6,0.676,0.506,18.5,0.215,80,-1.45
108,16,Tyler Zeller,6,406,2012,17,Sr,ACC,121.2,24.4,55.3,61.6,14.1,20.2,6.3,15.3,5.3,1.7,56.3,0.808,0.553,0,0,85,-2.15
109,17,Terrence Jones,5,232,2012,18,So,SEC,111.9,22.3,52.3,54.7,10.8,16.3,8.7,14.9,5.8,2.7,44.6,0.627,0.528,13.8,0.327,81,0.75
110,18,Andrew Nicholson,5,285,2012,19,Sr,A10,116.7,28.1,60.1,63.8,11.2,22.8,9.4,18.1,7.3,1.3,42.9,0.776,0.593,13.8,0.434,81,-3.45
111,20,Jared Sullinger,5,269,2012,21,So,B10,117.8,27.3,53.8,59.1,12.5,24,8.6,13.7,4,2.3,51.9,0.768,0.531,9.1,0.4,81,-0.4
112,21,John Jenkins,5,145,2012,23,Jr,SEC,126.4,23.6,62,65.6,1.7,8.2,8.4,12,1,1.5,33.4,0.837,0.542,66.6,0.439,75,-2.425
