,X,PLAYER,Play_Yrs,Games,Year,Pick,CLASS,CONF,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,FT_PERC,X2P_PERC,X3PR,X3P_PERC,HEIGHT_IN,BPM
136,12,Steven Adams,6,394,2013,12,Fr,BE,109.7,18,57.1,55.5,15.3,19.1,5.4,16.9,11.2,1.9,40,0.443,0.571,0,0,85,-0.875
137,13,Kelly Olynyk,6,362,2013,13,Jr,WCC,123.5,30.4,64.4,67.8,11.8,20.1,15.1,18.4,5.1,1.6,50.5,0.78,0.661,8.7,0.31,85,0.35
138,14,Shabazz Muhammad,5,278,2013,14,Fr,P12,107.1,28.2,48.7,52.8,9.9,8.5,5.8,10.5,0.4,1.3,39.5,0.711,0.463,23.2,0.377,78,-2.175
139,18,Shane Larkin,4,256,2013,18,So,ACC,117.2,21.8,56.9,60,1.6,10.4,26.1,17.9,0.3,3.4,29.3,0.777,0.538,44.5,0.406,71,-2.86666666666667
140,19,Tony Snell,6,377,2013,20,Jr,MWC,105,22,51.6,56.2,1.6,8.1,22.4,18.5,1.9,1.6,29.9,0.843,0.452,48.1,0.39,79,-2.425
141,20,Gorgui Dieng,6,386,2013,21,Jr,BE,112.6,18.2,53.4,56.2,12.9,22.1,12.3,18.9,9.4,2.6,47.9,0.652,0.534,0,0,83,-0.05
142,21,Mason Plumlee,6,398,2013,22,Sr,ACC,113.1,25.1,59.9,62.8,9.8,23.3,11.5,19.2,4,1.7,68.8,0.681,0.599,0,0,82,1.15
143,22,Solomon Hill,6,269,2013,23,Sr,P12,113.7,21.4,54.1,57.9,6.6,12.8,16.8,18.7,1.8,2.1,35.9,0.766,0.508,42.3,0.39,79,-1.625
144,24,Reggie Bullock,6,215,2013,25,Jr,ACC,126.5,18.2,59.8,61.7,6.6,15.8,16.2,12.3,0.9,2.2,21,0.767,0.537,57.1,0.429,79,-1.35
145,25,Andre Roberson,5,295,2013,26,Jr,P12,99.8,20.4,51.5,52.4,10.6,27.1,9.4,21.2,4.4,3.9,35.6,0.551,0.521,21.1,0.328,79,-0.9
146,27,Archie Goodwin,4,165,2013,29,Fr,SEC,96.9,27.2,46.4,50.9,5.6,10.4,16.8,21,1.4,2.1,59.4,0.637,0.478,17.9,0.266,76,-2.1
147,28,Allen Crabbe,6,310,2013,31,Jr,P12,108.7,25.4,52.8,56.8,3.3,14.8,16.2,16.4,1.9,1.9,29.7,0.813,0.532,39.3,0.348,78,-2.3
148,29,Isaiah Canaan,6,213,2013,34,Sr,OVC,112.4,30.7,52.4,57.6,1.7,9.1,27.7,17.3,0.4,2.6,37.9,0.823,0.489,51.3,0.371,73,-2.625
149,30,Jeff Withey,5,206,2013,39,Sr,B12,113.7,21,58.3,62.1,8.8,20.9,6.2,17.8,13.7,1.4,60.4,0.714,0.58,0.3,1,85,0.525
150,31,Mike Muscala,6,251,2013,44,Sr,Pat,116.8,31.7,51,57.2,12,29,18.6,10.9,7.7,1,50.6,0.788,0.515,3.6,0.25,83,-1.3
151,32,Ryan Kelly,4,163,2013,48,Sr,ACC,121.1,20.8,53.5,58.6,6.9,14.3,11,9.7,5.4,1.4,40.1,0.812,0.473,39.2,0.422,83,-2.85
152,33,James Ennis,5,225,2013,50,Sr,BW,111,24,55.9,61,6.3,15.5,14.2,21,4.1,3.1,37.3,0.853,0.576,42.8,0.358,79,-0.4
153,34,Lorenzo Brown,5,84,2013,52,Jr,ACC,103.5,24.7,44.9,50.9,2.4,11.4,36.7,23.6,1.6,3.4,41.9,0.771,0.465,22.8,0.263,77,-5.36666666666667
154,1,Andrew Wiggins,5,334,2014,1,Fr,B12,112.3,25.1,49.9,56.3,8.4,12.3,9.2,15.9,3.1,2.1,53.8,0.775,0.493,29.9,0.341,80,-1.95
155,2,Jabari Parker,5,193,2014,2,Fr,ACC,111.7,31.6,51.1,55.8,11.4,23.1,8.7,14.5,4,2.1,42.9,0.748,0.504,21.2,0.358,80,-0.65
156,3,Aaron Gordon,5,272,2014,4,Fr,P12,105.5,23.2,51.6,50.3,10.4,19.3,13,12.4,3.4,1.8,47.1,0.422,0.513,11.8,0.356,80,-0.6
157,5,Marcus Smart,5,270,2014,6,So,B12,110.4,29.9,48.6,55.2,5.1,14.9,30.1,15.4,1.9,5,64.8,0.728,0.514,42.5,0.299,76,-1
158,6,Julius Randle,5,247,2014,7,Fr,SEC,111.2,26.2,50.4,56.6,13.4,24.7,10,18.7,2.6,1,73.7,0.706,0.516,4.6,0.167,81,-4.65
159,7,Nik Stauskas,5,277,2014,8,So,B10,124.1,23.9,58.6,64.2,1.6,8.8,18.8,14,0.9,1,51.8,0.824,0.5,52.8,0.442,78,-3.05
160,8,Noah Vonleh,5,241,2014,9,Fr,B10,109.1,21.5,56,60.4,10.8,27.3,4.9,21.8,5.4,1.9,62,0.716,0.53,15.3,0.485,82,-3.125
161,9,Elfrid Payton,5,305,2014,10,Jr,SB,107.4,29.5,51.6,54.1,7.2,12,32.3,19.4,1.5,3.6,64.6,0.59,0.534,12.3,0.259,75,-0.45
162,10,Doug McDermott,5,274,2014,11,Sr,BE,124.4,32.8,60.3,64.4,6.4,17.8,11.5,9.8,0.5,0.4,32.9,0.864,0.567,34.1,0.449,80,-3.35
163,11,Zach LaVine,5,240,2014,13,Fr,P12,107.3,19,52.4,54.5,2.4,9.5,12.6,13.9,0.8,2.1,23.6,0.691,0.494,44.4,0.375,77,-2.075
164,12,TJ Warren,5,226,2014,14,So,ACC,113.7,33.6,54.8,57.4,10.8,12.8,8.6,12.2,1.8,3.1,34.7,0.69,0.58,17.8,0.267,80,-0.675
165,13,Adreian Payne,4,107,2014,15,Sr,B10,113.5,27.1,56.5,60.7,6.8,22.9,10.2,16.1,3.8,1,39,0.79,0.536,29.4,0.423,82,-3.25
166,15,James Young,4,95,2014,17,Fr,SEC,111.7,21.8,49.8,53.6,3.7,11,10.8,15.9,0.6,1.4,39.3,0.706,0.47,52.2,0.349,78,-4.025
167,16,Tyler Ennis,4,186,2014,18,Fr,ACC,114.5,22.7,45.3,51.1,2.6,9,32.5,13.8,0.7,3.9,41.4,0.765,0.429,23.6,0.353,74,-3.475
168,17,Gary Harris,5,264,2014,19,So,B10,114.4,25.3,51.8,56.1,4,10.2,16.8,12.7,1.6,3.4,31.2,0.81,0.507,50.5,0.352,76,-1.175
169,19,Rodney Hood,5,257,2014,23,So,ACC,119.8,22.3,55,59,2.9,11.7,13.2,12.8,0.8,1.3,32.8,0.807,0.494,41,0.42,80,-0.25
170,20,Shabazz Napier,5,240,2014,24,Sr,Amer,115.9,28.1,51.7,59.1,3.4,15,30.8,17.7,1,3.2,48,0.87,0.448,43.3,0.405,73,-1.475
171,22,Kyle Anderson,5,265,2014,30,So,P12,110.6,26,51.7,56.6,4.5,25.5,34.3,20.2,2.7,3.1,49.3,0.737,0.48,15.4,0.483,81,1.175
172,23,Joe Harris,5,196,2014,33,Sr,ACC,113.4,22.1,54.7,56.5,2.7,9.8,18.1,13.4,0.9,2.2,33.7,0.64,0.487,53.3,0.4,78,-3.725
173,24,Johnny O'Bryant III,4,147,2014,36,Jr,SEC,98.6,28.5,49.8,52.8,10.8,16.6,11.5,21,2.9,1,45.5,0.634,0.496,0.5,0.5,81,-5.55
174,25,Spencer Dinwiddie,5,195,2014,38,Jr,P12,129.4,21.5,56.5,66.7,1.8,9.6,26.3,15.6,0.8,2.9,90.8,0.857,0.515,48.1,0.413,78,-2.1
175,26,Jerami Grant,5,311,2014,39,So,ACC,115.6,21.4,49.6,54.7,9.1,17.2,9.4,11.3,2.5,1.7,66.4,0.674,0.506,1.9,0,80,-1.5
176,27,Glenn Robinson III,5,179,2014,40,So,B10,113.7,21.2,53.2,56.6,6,11.5,7.6,11.6,1,1.9,30.8,0.757,0.562,29,0.306,78,-1.875
177,29,Dwight Powell,5,263,2014,45,Sr,P12,101.3,26.8,47.5,52.7,7.3,17.3,20.4,19.6,2.8,2.4,55.7,0.687,0.485,10.3,0.256,82,0.425
178,30,Jordan Clarkson,5,310,2014,46,Jr,SEC,109.7,27.3,48.1,54.6,2.9,9.3,23.3,16.8,0.6,1.9,41.7,0.831,0.5,24.4,0.281,77,-0.95
179,1,KarlAnthony Towns,4,256,2015,1,Fr,SEC,122.7,24.2,57,62.7,14.1,22.2,11.5,16.6,11.4,1.4,52.3,0.813,0.577,3.1,0.25,83,4.5
180,2,D'Angelo Russell,4,201,2015,2,Fr,B10,113.6,29.9,54.1,57.3,3.6,15.4,30.1,17.3,1.1,2.8,30.3,0.756,0.479,44.9,0.411,77,-0.225
181,3,Jahlil Okafor,4,137,2015,3,Fr,ACC,116.4,27.6,66.4,64.1,14.8,18.2,9.4,18.2,4.5,1.5,46.2,0.51,0.664,0,0,83,-2
182,5,Willie CauleyStein,4,224,2015,6,Jr,SEC,115.8,18.3,57.2,58.8,11.1,17.3,7.4,16.2,7.1,2.9,54.2,0.617,0.572,0,0,85,-0.175
183,7,Stanley Johnson,4,226,2015,8,Fr,P12,108,26,50.1,55.1,8.9,19.1,11.6,17.4,1.6,3.2,45.6,0.742,0.478,29.7,0.371,78,-2.85
184,8,Frank Kaminsky,4,239,2015,9,Sr,B10,126.2,28.1,59,62.8,6,25.7,18.4,11.5,4.5,1.7,41,0.78,0.581,20.7,0.416,85,-0.475
185,9,Justise Winslow,4,168,2015,10,Fr,ACC,112.2,22.4,55.1,57.2,5.4,19.8,13.2,16.8,2.9,2.8,43.8,0.641,0.516,30.9,0.418,78,-2.025
186,10,Myles Turner,4,216,2015,11,Fr,B12,109.4,23.8,48.8,55.6,7.2,24.9,6.2,16.6,12.3,0.8,43.6,0.839,0.513,24.1,0.274,83,0.45
187,11,Trey Lyles,4,233,2015,12,Fr,SEC,112.6,20.6,49.6,54.3,9.9,16.1,9.2,15,2.1,1.4,42.5,0.735,0.536,12.1,0.138,82,-1.275
188,12,Devin Booker,4,214,2015,13,Fr,SEC,121,20.5,57.1,60,2.6,7.8,10.9,13.8,0.3,1.3,22.3,0.828,0.527,49.1,0.411,78,-0.7
189,13,Cameron Payne,4,123,2015,14,So,OVC,118.8,31.3,52.9,56.7,2.3,10.7,39.8,14.9,1.6,3.2,31.3,0.783,0.507,42.8,0.373,74,-2.55
190,14,Kelly Oubre,4,232,2015,15,Fr,B12,108.7,22,51.2,55.5,6.4,19.2,8.1,15.4,1.8,3.3,44.4,0.718,0.497,38.3,0.358,79,-2.8
191,15,Terry Rozier,4,202,2015,16,So,ACC,105.9,26.8,45.7,50.9,3.8,13.9,19.7,14.1,0.5,3.5,33.8,0.79,0.456,30.1,0.306,73,-1.4
192,16,Sam Dekker,4,161,2015,18,Jr,B10,125.8,22.4,58.6,60.5,8.4,14.8,8.6,8.7,1.5,1.1,27.8,0.708,0.639,37.2,0.331,81,-0.675
193,17,Jerian Grant,4,222,2015,19,Sr,ACC,122.2,25.6,53.6,59.2,1.3,8.3,33.5,14.2,1.4,2.8,51.1,0.78,0.572,37,0.316,77,-1.475
194,18,Delon Wright,4,128,2015,20,Sr,P12,125.2,24.2,54.5,61.7,4.1,13.6,32.8,15.4,3.2,3.9,57.1,0.835,0.549,22.9,0.356,77,1.925
195,19,Bobby Portis,4,203,2015,22,So,SEC,118.9,25.7,55.2,58.2,13.6,20.2,8.8,11.5,4.8,2.1,33.5,0.737,0.541,6.4,0.467,82,-1.6
196,20,Rondae HollisJefferson,4,182,2015,23,So,P12,113.8,20.9,51.3,57.3,9,20.1,10.1,15.5,3.4,2.4,74.5,0.707,0.537,10.5,0.207,79,-0.75
197,21,Tyus Jones,4,188,2015,24,Fr,ACC,121.8,19.9,48.9,57.5,1.8,9.9,27.5,17.4,0.2,2.7,50,0.889,0.44,38.3,0.379,73,-0.5
198,22,Jarell Martin,4,146,2015,25,So,SEC,106.5,24.6,52.6,56.5,9.7,18.1,10.5,18.4,1.8,1.9,51.1,0.69,0.545,13.1,0.269,81,-4.35
199,23,Larry Nance Jr,4,199,2015,27,Sr,MWC,106.3,27.9,52.7,57.7,6.2,20.5,19.7,15.9,4.3,2.3,41.5,0.785,0.529,11.8,0.341,80,0.975
200,24,Kevon Looney,4,134,2015,30,Fr,P12,113,20,50.5,53.2,12.2,21,9.1,11.9,3.3,2.5,45.8,0.626,0.481,16.5,0.415,81,-0.975
201,25,Montrezl Harrell,4,182,2015,32,Jr,ACC,113.7,22.6,57.8,58.8,10,19.1,9.2,15.1,3.7,1.6,50.8,0.597,0.602,9.8,0.243,80,1.75
202,26,Richaun Holmes,4,164,2015,37,Sr,MAC,115.8,25.1,59.3,62.3,11.5,21,7.2,16.5,11.3,1.5,50.7,0.711,0.586,15.4,0.419,80,0.3
203,27,Josh Richardson,4,194,2015,40,Sr,SEC,110.7,25.3,51.9,56,2.9,13.2,24.4,18.9,2,3.8,31.1,0.798,0.509,32.1,0.359,78,-0.125
204,28,Pat Connaughton,4,161,2015,41,Sr,ACC,120.4,16.7,59.7,61.5,4.2,20.4,7.6,12.2,2.7,1.3,18,0.781,0.537,61.8,0.423,77,-2.35
205,29,Norman Powell,4,205,2015,46,Sr,P12,104.9,24,49.7,54,1.9,13.3,12.8,15.8,1.5,3.2,36.2,0.751,0.503,25.5,0.319,76,-1.1
