Player,BPM
A.J. Price,-2.266666666666666
Aaron Brooks,-1.65
Aaron Gordon,-0.8500000000000001
Aaron Gray,-4.5
Aaron Harrison,-6.3
Adonis Thomas,-6.2
Adreian Payne,-6.550000000000001
Al Harrington,-4.35
Al Horford,3.2
Al Jefferson,1.5499999999999998
Al-Farouq Aminu,0.025
Alan Anderson,-2.0999999999999996
Alan Williams,-0.2
Alec Burks,-1.3750000000000002
Alex Kirk,-6.0
Alex Len,-4.233333333333333
Alex Stepheson,-2.4
Alexey Shved,-0.23333333333333325
Alexis Ajinça,-2.3000000000000003
Allen Crabbe,-2.6333333333333333
Alonzo Gee,-2.225
Amar'e Stoudemire,-0.35000000000000003
Amir Johnson,0.7
Anderson Varejão,0.6999999999999998
Andray Blatche,1.1
Andre Dawkins,-12.8
Andre Drummond,1.225
Andre Iguodala,1.725
Andre Miller,-0.575
Andre Roberson,-0.8666666666666666
Andrea Bargnani,-2.8
Andrei Kirilenko,-0.8666666666666667
Andrew Bogut,2.3000000000000003
Andrew Bynum,-1.9
Andrew Goudelock,-9.75
Andrew Nicholson,-3.4499999999999997
Andrew Wiggins,-1.85
Andris Biedriņš,-4.6
Antawn Jamison,-2.4
Anthony Bennett,-5.066666666666667
Anthony Brown,-5.5
Anthony Davis,5.0249999999999995
Anthony Morrow,-0.5
Anthony Randolph,-1.85
Anthony Tolliver,-1.025
Archie Goodwin,-3.4333333333333336
Arinze Onuaku,-1.9000000000000001
Arnett Moultrie,-4.25
Aron Baynes,-3.675
Arron Afflalo,-2.125
Austin Daye,-2.533333333333333
Austin Rivers,-3.7749999999999995
Avery Bradley,-1.9749999999999999
Axel Toupane,-4.7
Ben Gordon,-4.533333333333334
Ben Hansbrough,-4.2
Ben McLemore,-3.3333333333333335
Beno Udrih,-1.5750000000000002
Bernard James,-1.9000000000000001
Bismack Biyombo,-1.7250000000000003
Blake Griffin,4.275
Boban Marjanović,4.3
Bobby Portis,-3.3
Bojan Bogdanović,-2.6
Boris Diaw,0.625
Bradley Beal,0.049999999999999996
Brandan Wright,2.575
Branden Dawson,-5.7
Brandon Bass,-0.6
Brandon Davies,-5.4
Brandon Jennings,1.025
Brandon Knight,-0.575
Brandon Roy,-4.2
Brandon Rush,-3.675
Brendan Haywood,-6.15
Brian Roberts,-1.4
Briante Weber,-3.7
Brook Lopez,2.375
Bruno Caboclo,-17.9
Bryce Cotton,-5.5
Bryce Dejean-Jones,-2.5
Byron Mullens,-2.55
C.J. Miles,1.225
C.J. Watson,0.125
C.J. Wilcox,-3.2
CJ McCollum,-0.9
Cameron Bairstow,-8.25
Cameron Payne,-0.7
Carl Landry,-1.0999999999999999
Carlos Boozer,-1.3
Carlos Delfino,1.4
Carmelo Anthony,3.9000000000000004
Caron Butler,-1.55
Carrick Felix,-3.4
Cartier Martin,-3.5333333333333337
Casper Ware,-2.4
Chandler Parsons,1.8250000000000002
Channing Frye,0.0
Charles Jenkins,-4.9
Charlie Villanueva,-0.9
Chase Budinger,-1.75
Chauncey Billups,-2.65
Chris Andersen,0.7
Chris Babb,-6.1
Chris Bosh,1.85
Chris Copeland,-1.5250000000000001
Chris Douglas-Roberts,-3.6999999999999997
Chris Duhon,-2.9
Chris Johnson,-0.5599999999999999
Chris Kaman,-2.05
Chris McCullough,-2.4
Chris Paul,8.325
Chris Quinn,-9.2
Chris Singleton,-4.449999999999999
Chris Smith,-9.7
Chris Wilcox,0.0
Chris Wright,-9.7
Christian Wood,-0.2
Chuck Hayes,-3.075
Cleanthony Early,-6.9
Cliff Alexander,0.0
Clint Capela,-2.9000000000000004
Cody Zeller,-0.9
Cole Aldrich,0.325
Corey Brewer,-0.925
Corey Maggette,-5.9
Cory Higgins,-3.3
Cory Jefferson,-4.7
Cory Joseph,0.175
Coty Clarke,14.1
Courtney Lee,-0.275
Cristiano Felício,0.3
D'Angelo Russell,-2.3
D.J. Augustin,-0.2
D.J. Stephens,1.7
D.J. White,-3.25
DaJuan Summers,-8.9
Daequan Cook,-4.8
Dahntay Jones,-5.6000000000000005
Damian Lillard,3.15
Damien Inglis,-5.6
Damien Wilkins,-2.2
Damion James,4.65
Damjan Rudež,-3.55
Daniel Gibson,-3.4
Daniel Orton,-3.55
Danilo Gallinari,2.6333333333333333
Danny Granger,-4.666666666666667
Danny Green,2.925
Dante Cunningham,-1.875
Dante Exum,-4.3
Darius Johnson-Odom,-24.15
